"segment_id","station_id","location1_on","location2_from","location3_to","direction","fhwa_code","borough_code","start_date","start_time","end_date","end_time","interval_min","06:00_total_bike_count","06:15_total_bike_count","06:30_total_bike_count","06:45_total_bike_count","07:00_total_bike_count","07:15_total_bike_count","07:30_total_bike_count","07:45_total_bike_count","08:00_total_bike_count","08:15_total_bike_count","08:30_total_bike_count","08:45_total_bike_count","09:00_total_bike_count","09:15_total_bike_count","09:30_total_bike_count","09:45_total_bike_count","10:00_total_bike_count","10:15_total_bike_count","10:30_total_bike_count","10:45_total_bike_count","11:00_total_bike_count","11:15_total_bike_count","11:30_total_bike_count","11:45_total_bike_count","12:00_total_bike_count","12:15_total_bike_count","12:30_total_bike_count","12:45_total_bike_count","13:00_total_bike_count","13:15_total_bike_count","13:30_total_bike_count","13:45_total_bike_count","14:00_total_bike_count","14:15_total_bike_count","14:30_total_bike_count","14:45_total_bike_count","15:00_total_bike_count","15:15_total_bike_count","15:30_total_bike_count","15:45_total_bike_count","16:00_total_bike_count","16:15_total_bike_count","16:30_total_bike_count","16:45_total_bike_count","17:00_total_bike_count","17:15_total_bike_count","17:30_total_bike_count","17:45_total_bike_count","18:00_total_bike_count","18:15_total_bike_count","18:30_total_bike_count","18:45_total_bike_count","19:00_total_bike_count","19:15_total_bike_count","19:30_total_bike_count","19:45_total_bike_count","20:00_total_bike_count","20:15_total_bike_count","20:30_total_bike_count","20:45_total_bike_count","21:00_total_bike_count","21:15_total_bike_count","21:30_total_bike_count","21:45_total_bike_count","22:00_total_bike_count","22:15_total_bike_count","22:30_total_bike_count","22:45_total_bike_count","23:00_total_bike_count","23:15_total_bike_count","23:30_total_bike_count","23:45_total_bike_count","file_name","sheet_number","day_of_week","quarter","day_type","0_tot_vol","1_tot_vol","2_tot_vol","3_tot_vol","4_tot_vol","5_tot_vol","6_tot_vol","7_tot_vol","8_tot_vol","9_tot_vol","10_tot_vol","11_tot_vol","12_tot_vol","13_tot_vol","14_tot_vol","15_tot_vol","16_tot_vol","17_tot_vol","18_tot_vol","19_tot_vol","20_tot_vol","21_tot_vol","22_tot_vol","23_tot_vol","24_tot_vol","year","season","daily_total"
"101083",,Springfield Blvd,"54th Ave","56th Ave",SB,5,4,2021-10-31,"7:00:00","10/31/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"138972_raw_counts(21-360188-138972 Weekend).xlsx",2,Sunday   ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,0,0,2,1,3,0,1,0,1,0,,,,,,,"2021",fall,
"101083",,Springfield Blvd,"54th Ave","56th Ave",NB,1,4,2021-10-14,"7:00:00","10/14/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,"138972_raw_counts(21-360188-138972 Weekday).xlsx",1,Thursday ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,1,0,1,0,0,0,1,4,3,2,,,,,,,"2021",fall,
"101083",,Springfield Blvd,"54th Ave","56th Ave",NB,1,4,2021-10-31,"7:00:00","10/31/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6,3,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"138972_raw_counts(21-360188-138972 Weekend).xlsx",1,Sunday   ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,1,1,0,2,0,10,4,1,2,0,,,,,,,"2021",fall,
"101083",,Springfield Blvd,"54th Ave","56th Ave",SB,5,4,2021-10-14,"7:00:00","10/14/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,3,2,0,1,,,,,,,,,,,,,,,,,,,,,"138972_raw_counts(21-360188-138972 Weekday).xlsx",2,Thursday ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,0,0,1,0,0,1,1,1,2,6,,,,,,,"2021",fall,
"101199",,Cloverdale Blvd,Garland Dr,Kenilworth Dr/Hoxie Dr,NB,1,4,2021-10-31,"7:00:00","10/31/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"138970_raw_counts(21-360188-138970 Weekend).xlsx",1,Sunday   ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,0,0,0,5,3,2,0,1,0,0,,,,,,,"2021",fall,
"101199",,Cloverdale Blvd,Garland Dr,Kenilworth Dr/Hoxie Dr,NB,1,4,2021-10-14,"7:00:00","10/14/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,"138970_raw_counts(21-360188-138970 Weekday).xlsx",1,Thursday ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,0,1,1,1,2,3,2,1,1,2,,,,,,,"2021",fall,
"101199",,Cloverdale Blvd,Garland Dr,Kenilworth Dr/Hoxie Dr,SB,5,4,2021-10-31,"7:00:00","10/31/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,1,1,3,0,0,0,0,1,1,3,0,1,0,2,0,2,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,"138970_raw_counts(21-360188-138970 Weekend).xlsx",2,Sunday   ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,4,2,0,2,3,4,2,4,4,1,,,,,,,"2021",fall,
"101199",,Cloverdale Blvd,Garland Dr,Kenilworth Dr/Hoxie Dr,SB,5,4,2021-10-14,"7:00:00","10/14/2021","19:00:00",15,,,,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,"138970_raw_counts(21-360188-138970 Weekday).xlsx",2,Thursday ,Q4,"1: Monday-Friday (M-F)",,,,,,,,0,0,1,1,0,0,3,1,2,1,2,0,,,,,,,"2021",fall,
"101201",,"223 STREET",Bike Path,"46 Avenue",NB,1,4,2019-06-13,"7:00:00","6/13/2019","19:00:00",15,,,,,1,1,3,0,0,0,0,0,0,1,2,0,4,0,1,1,0,2,1,4,2,0,2,0,2,1,2,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122685_raw_counts(Bike Count Template with (ID 122685) 13th (DC)).xlsx",2,Thursday ,Q2,"1: Monday-Friday (M-F)",,,,,,,,5,0,3,6,7,4,6,4,,,,,,,,,,,"2019",summer,
"101201",,"223 STREET",Bike Path,"46 Avenue",NB,1,4,2019-06-13,"7:00:00","6/13/2019","19:00:00",15,,,,,1,1,3,0,0,0,0,0,0,1,2,0,4,0,1,1,0,2,1,4,2,0,2,0,2,1,2,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"122682_raw_counts(Bike Count Template with (ID 122682) 13th (DC)).xlsx",2,Thursday ,Q2,"1: Monday-Friday (M-F)",,,,,,,,5,0,3,6,7,4,6,4,,,,,,,,,,,"2019",summer,
