File,Segment ID:,Station ID:,Location1 (On):,Location2 (From):,Location3 (To):,Direction:,Borough Code*:,Date,Year:,Month:,Quarter:,DOW:,Day_Type:,Start Time:,End Time:,Weather:,Speed Limit:,Type of Roadway:,Width of Road by Direction:,Number of Moving Lanes:,Number of Parking Lanes:,Min,Max,Average,5th Percentile,50th Percentile,95th Percentile,
128832_EB_raw_counts(128832 1251-1316).xlsx,812,,Hylan Blvd,Culotta Ln,Butler Blvd,EB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:51:00,13:16:00,Dry - Clear,40,Two - Way,22',2,0,29,55,37.64,30,38,48,2019Q4
128833_WB_raw_counts(128833 1219-1248).xlsx,159350,,Hylan Blvd,Kenny Rd,Sharrott Ave,WB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:19:00,12:48:00,Dry - Clear,40,Two - Way,22',2,0,20,47,35.95,30,36,45,2019Q4
128834_NB_raw_counts(128834 1148-1214).xlsx,219232,,Hylan Blvd,Lemon Creek Shoreline,Bayview Ave,NB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:48:00,12:14:00,Dry - Clear,40,Two - Way,30',2,0,20,44,32.26,21.95,33,42,2019Q4
128835_WB_raw_counts(128835 1128-1144).xlsx,3018,,Hylan Blvd,Kingdom Ave,Arbutus Ave,WB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:28:00,11:44:00,Dry - Clear,40,Two - Way,30',2,0,16,49,35.78,25.8,35,45,2019Q4
128837_SB_raw_counts(128837 1433-1453).xlsx,155220,,Hylan Blvd,Richmond Ave,Oceanic Ave,SB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,14:33:00,14:53:00,Dry - Clear,40,Two - Way,32',2,1,19,40,27.44,20,27,36.05,2019Q4
128838_NB_raw_counts(128838 1400-1428).xlsx,155238,,Hylan Blvd,Redgrave Ave,Ainsworth Ave,NB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,14:00:00,14:28:00,Dry - Clear,35,Two - Way,30',3,0,16,45,31.66,22,32,40.05,2019Q4
128839_SB_raw_counts(128839 1300-1348).xlsx,155402,,Hylan Blvd,Tysens Lane,Reno Ave,SB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,13:00:00,13:48:00,Dry - Clear,35,Two - Way,32',3,0,7,33,21.72,11.95,22,30,2019Q4
128840_NB_raw_counts(128840 1200-1300).xlsx,11733,,Hylan Blvd,Hull Ave,Adams Ave,NB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:00:00,13:00:00,Dry - Clear,35,Two - Way,30',2,1,14,29,21.47,16.95,21,27,2019Q4
128841_SB_raw_counts(128841 1100-1200).xlsx,155467,,Hylan Blvd,Parkinson Ave,Norway Ave,SB,5,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:00:00,12:00:00,Dry - Clear,35,Two - Way,30',2,1,9,37,23.32352941,15,23,32,2019Q4
128842_NB_raw_counts(128842 1252-1303).xlsx,18795,,Bay Parkway,Benson Ave,Bath Ave,NB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:52:00,13:03:00,Dry - Clear,25,Two - Way,30',2,1,10,30,18.35,13,18,23,2019Q4
128843_SB_raw_counts(128843 1235-1247).xlsx,20338,,Bay Pkwy,74th St,73th St,SB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:35:00,12:47:00,Dry - Clear,25,Two - Way,30',2,1,10,31,17.15,12,17,21,2019Q4
128844_NB_raw_counts(128844 1205-1227).xlsx,115160,,Bay Pkwy,E 2nd St,Washington Cemetery Boundary,NB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:05:00,12:27:00,Dry - Clear,25,Two - Way,30',2,1,10,32,18.89,11.95,19,28.05,2019Q4
128845_EB_raw_counts(128845 1100-1135).xlsx,190404,,Linden Blvd,E 94th St,E 95th St,EB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:00:00,11:35:00,Dry - Clear,30,Two - Way,32',3,0,14,52,27.1,18,26,40.2,2019Q4
128846_WB_raw_counts(128846 1140-1205).xlsx,190393,,Linden Blvd,Rockaway Ave,Mother Gaston Blvd,WB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:40:00,12:05:00,Dry - Clear,30,Two - Way,32',3,0,10,35,18.75,12,17.5,29.05,2019Q4
128847_EB_raw_counts(128847 1235-1250).xlsx,135297,,Linden Blvd,Mother Gaston Blvd,Junius St,EB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:35:00,12:50:00,Dry - Clear,30,Two - Way,32',3,0,14,42,25.92,15,25,37.05,2019Q4
128848_WB_raw_counts(128848 1257-1325).xlsx,191442,,Linden Blvd,New Jersey Ave,Vermont St,WB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:57:00,13:25:00,Dry - Clear,30,Two - Way,32',3,0,7,27,16.59,9.95,16.5,25,2019Q4
128849_EB_raw_counts(128849 1330-1352).xlsx,191438,,Linden Blvd,Ashford St,Warwick St,EB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,13:30:00,13:52:00,Dry - Clear,30,Two - Way,32',3,0,11,45,27.6,15,28,39.1,2019Q4
128850_WB_raw_counts(128850 1355-1420).xlsx,149525,,Linden Blvd,Logan St,Fountain Ave,WB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,13:55:00,14:20:00,Dry - Clear,30,Two - Way,32',3,0,11,27,18.34,13,18,25,2019Q4
128851_EB_raw_counts(128851 1425-1455).xlsx,9008188,,Linden Blvd,Lincoln Ave,Eldert Ln,EB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,14:25:00,14:55:00,Dry - Clear,30,Two - Way,32',3,0,10,40,25.75,15,26.5,35,2019Q4
128852_NB_raw_counts(128852 1119-1140).xlsx,29652,,Bedford Ave,Park Pl,Sterling Pl,NB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:19:00,11:40:00,Dry - Clear,25,Two - Way,25',1,1,10,34,20,12,19.5,28.1,2019Q4
128853_NB_raw_counts(128853 1100-1110).xlsx,29582,,Bedford Ave,Madison St,Monroe St,NB,3,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:00:00,11:10:00,Dry - Clear,25,Two - Way,50',2,2,12,37,22.56,15,22,30,2019Q4
128854_WB_raw_counts(128854 1100-1140).xlsx,149554,,Jamaica Ave,225th St,224th St,WB,4,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:00:00,11:40:00,Dry - Clear,25,Two - Way,32',2,1,18,43,28.79,19,29,39,2019Q4
128855_EB_raw_counts(128855 1150-1225).xlsx,144394,,Jericho Turnpike,245th St,246th St,EB,4,12/27/2019,2019,Dec,Q4,Fri,Weekday,11:50:00,12:25:00,Dry - Clear,25,Two - Way,30',2,1,19,40,26.46,20,26,34.05,2019Q4
128856_WB_raw_counts(128856 1238-1256).xlsx,152651,,Jericho Turnpike,Little Neck Pkwy,Remsen Ln,WB,4,12/27/2019,2019,Dec,Q4,Fri,Weekday,12:38:00,12:56:00,Dry - Clear,25,Two - Way,35',2,1,18,47,27.23,21,26.5,37.05,2019Q4
